path,symbols,classification,mechanisms,reason
src/generated/fortnum_multi_input_p4_vjp_kernel.f90,fortnum_multi_input_p4_vjp_kernel,fortsym-generated,analytical,generated scaling-study VJP
src/generated/fortnum_multi_input_p8_jvp_kernel.f90,fortnum_multi_input_p8_jvp_kernel,fortsym-generated,analytical,generated scaling-study JVP
src/generated/fortnum_multi_input_p8_vjp_kernel.f90,fortnum_multi_input_p8_vjp_kernel,fortsym-generated,analytical,generated scaling-study VJP
src/generated/fortnum_multi_input_p16_jvp_kernel.f90,fortnum_multi_input_p16_jvp_kernel,fortsym-generated,analytical,generated scaling-study JVP
src/generated/fortnum_multi_input_p16_vjp_kernel.f90,fortnum_multi_input_p16_vjp_kernel,fortsym-generated,analytical,generated scaling-study VJP
src/generated/fortnum_rk54_ck_finish_kernel.f90,fortnum_rk54_ck_finish,fortsym-generated,analytical,generated Cash-Karp fifth-order state and embedded error algebra
src/generated/fortnum_rk54_ck_stage2_kernel.f90,fortnum_rk54_ck_stage2,fortsym-generated,analytical,generated Cash-Karp second-stage state algebra
src/generated/fortnum_rk54_ck_stage3_kernel.f90,fortnum_rk54_ck_stage3,fortsym-generated,analytical,generated Cash-Karp third-stage state algebra
src/generated/fortnum_rk54_ck_stage4_kernel.f90,fortnum_rk54_ck_stage4,fortsym-generated,analytical,generated Cash-Karp fourth-stage state algebra
src/generated/fortnum_rk54_ck_stage5_kernel.f90,fortnum_rk54_ck_stage5,fortsym-generated,analytical,generated Cash-Karp fifth-stage state algebra
src/generated/fortnum_rk54_ck_stage6_kernel.f90,fortnum_rk54_ck_stage6,fortsym-generated,analytical,generated Cash-Karp sixth-stage state algebra
src/generated/fortnum_rk54_dp_finish_kernel.f90,fortnum_rk54_dp_finish,fortsym-generated,analytical,generated Dormand-Prince fifth-order state and embedded error algebra
src/generated/fortnum_rk54_dp_stage2_kernel.f90,fortnum_rk54_dp_stage2,fortsym-generated,analytical,generated Dormand-Prince second-stage state algebra
src/generated/fortnum_rk54_dp_stage3_kernel.f90,fortnum_rk54_dp_stage3,fortsym-generated,analytical,generated Dormand-Prince third-stage state algebra
src/generated/fortnum_rk54_dp_stage4_kernel.f90,fortnum_rk54_dp_stage4,fortsym-generated,analytical,generated Dormand-Prince fourth-stage state algebra
src/generated/fortnum_rk54_dp_stage5_kernel.f90,fortnum_rk54_dp_stage5,fortsym-generated,analytical,generated Dormand-Prince fifth-stage state algebra
src/generated/fortnum_rk54_dp_stage6_kernel.f90,fortnum_rk54_dp_stage6,fortsym-generated,analytical,generated Dormand-Prince sixth-stage state algebra
src/generated/fortnum_rk54_dp_stage7_kernel.f90,fortnum_rk54_dp_stage7,fortsym-generated,analytical,generated Dormand-Prince seventh-stage state algebra
src/interp/fortnum_bspline.f90,bspline_eval_jvp;bspline_eval_vjp;bspline_eval_coef_jvp;bspline_eval_coef_vjp;bspline_eval_knots_jvp;bspline_eval_knots_vjp;bspline_eval_combined_jvp;bspline_eval_combined_vjp,hand-written algorithmic,analytical,fixed-span basis products and transposed products
src/interp/fortnum_bspline.f90,bspline_fit_jvp_factored;bspline_fit_vjp_factored,implicit solve,analytical,fitted coefficients are defined by a collocation residual
src/interp/fortnum_polynomial.f90,lagrange_weights_jvp;lagrange_weights_vjp;lagrange_fval_jvp;lagrange_fval_vjp;lagrange_nodes_jvp;lagrange_nodes_vjp;lagrange_combined_jvp;lagrange_combined_vjp,hand-written algorithmic,analytical,direct basis products and product recurrences
src/linalg/fortnum_linalg.f90,det2_jvp;det2_vjp;det3_jvp;det3_vjp;inv2_jvp;inv2_vjp;inv3_jvp;inv3_vjp,fortsym-generated,analytical,thin shape and singularity adapters around generated products
src/linalg/fortnum_linalg.f90,linear_solve_jvp;linear_solve_jvp_factored;linear_solve_jvp_factored_many;linear_solve_vjp;linear_solve_vjp_factored;linear_solve_vjp_factored_many;linear_solve_complex_jvp;linear_solve_complex_vjp,implicit solve,analytical,tangent and adjoint equations reuse primal factors for real and complex systems
src/ode/fortnum_ode.f90,ode_implicit_stage_jvp;ode_implicit_stage_vjp,implicit solve,analytical,stage state is defined by an implicit residual
src/ode/fortnum_ode.f90,ode_integrate_jvp;ode_integrate_vjp;ode_integrate_parameter_vjp;ode_integrate_vjp_checkpointed;ode_integrate_vjp_recomputed,frozen trace,analytical,accepted primal step schedule is held fixed
src/ode/fortnum_ode_events.f90,ode_event_time_jvp;ode_event_state_jvp,implicit solve,analytical,event time is defined by a zero residual
src/quadrature/fortnum_integrate.f90,integrate_fixed_jvp;integrate_moving_lower_jvp;integrate_moving_upper_jvp,hand-written algorithmic,analytical,differentiation under the integral and Leibniz boundary terms
src/quadrature/fortnum_integrate.f90,integrate_qag_jvp;integrate_qags_jvp;integrate_qagp_jvp;integrate_qagiu_jvp;jvp_walk_trace,frozen trace,analytical,adaptive interval schedule is held fixed
src/quadrature/fortnum_quadrature.f90,gauss_legendre_jvp;gauss_legendre_vjp,hand-written algorithmic,analytical,quadrature is a fixed linear contraction
src/roots/fortnum_fixed_point.f90,fixed_point_jvp;fixed_point_vjp,implicit solve,analytical,fixed point is differentiated through its residual
src/roots/fortnum_multiroot.f90,multiroot_jvp;multiroot_jvp_factored;multiroot_implicit_jvp;multiroot_vjp;multiroot_vjp_factored;multiroot_implicit_vjp,implicit solve,analytical,root is differentiated through its residual with factor reuse
src/roots/fortnum_roots.f90,root_jvp;root_scalar_implicit_jvp_core;root_implicit_jvp;root_vjp;root_implicit_vjp,implicit solve,analytical,root is differentiated through its scalar residual
src/special/fortnum_special_bessel.f90,bessel_in_jvp;bessel_kn_jvp;bessel_in_array_jvp;bessel_in_array_vjp,hand-written stable recurrence,analytical,neighbor identities preserve the stable primal implementation
src/special/fortnum_special_complex_bessel.f90,bessel_j_complex_jvp;bessel_i_complex_jvp;bessel_k_complex_jvp,hand-written stable recurrence,analytical,neighbor identities preserve scaled and unscaled primal regimes
src/special/fortnum_special_dawson.f90,dawson_outer_jvp,fortsym-generated,analytical,public adapter around generated fused outer product
src/special/fortnum_special_dawson.f90,dawson_jvp,hand-written stable recurrence,analytical,stable Dawson identity uses the selected primal
src/generated/fortnum_erf_jvp_kernel.f90,fortnum_erf_jvp,fortsym-generated,analytical,contracted product generated from the intrinsic expression
src/generated/fortnum_erf_vjp_kernel.f90,fortnum_erf_vjp,fortsym-generated,analytical,contracted product generated from the intrinsic expression
src/generated/fortnum_erfc_jvp_kernel.f90,fortnum_erfc_jvp,fortsym-generated,analytical,contracted product generated from the intrinsic expression
src/generated/fortnum_erfc_vjp_kernel.f90,fortnum_erfc_vjp,fortsym-generated,analytical,contracted product generated from the intrinsic expression
src/generated/fortnum_hyperg_asymptotic_outer_jvp_kernel.f90,fortnum_hyperg_asymptotic_outer_jvp,fortsym-generated,analytical,pure-elemental region-specific contracted product for scalar and conformable-array calls
src/generated/fortnum_hyperg_asymptotic_outer_vjp_kernel.f90,fortnum_hyperg_asymptotic_outer_vjp,fortsym-generated,analytical,pure-elemental region-specific transposed product for scalar and conformable-array calls
src/special/fortnum_special_gamma.f90,gamma_lower_jvp;gamma_lower_jvp_da;gamma_reg_p_jvp,hand-written stable recurrence,analytical,parameter-shift identities reuse stable primal evaluations
src/special/fortnum_special_hypergeometric_1f1.f90,hyperg_1f1_a1_jvp;hyperg_1f1_a1_vjp,hand-written stable recurrence,analytical,parameter-shift identity reuses stable primal evaluation
tools/codegen/app/gen_enzyme_scalar_wrappers.f90,fortnum_enzyme_scalar_p1.f90;fortnum_enzyme_scalar_p2.f90;fortnum_enzyme_scalar_p3.f90;fortnum_enzyme_scalar_p4.f90;fortnum_enzyme_bessel_outer.f90;fortnum_enzyme_bessel_outer_autodiff.f90;fortnum_enzyme_gamma_outer.f90;fortnum_enzyme_gamma_outer_autodiff.f90;fortnum_enzyme_erf_outer.f90;fortnum_enzyme_erf_outer_autodiff.f90;fortnum_enzyme_hyperg_outer.f90;fortnum_enzyme_hyperg_outer_autodiff.f90;fortnum_enzyme_dawson_outer.f90;fortnum_enzyme_dawson_outer_autodiff.f90;fortnum_enzyme_square.f90;fortnum_enzyme_scalar_root_residual.f90;fortnum_enzyme_scalar_root_newton.f90;fortnum_enzyme_scalar_root_vjp_residual.f90;fortnum_enzyme_scalar_root_vjp_newton.f90;fortnum_enzyme_vector_root_residual_one.f90;fortnum_enzyme_vector_root_residual_two.f90;fortnum_enzyme_vector_root_newton_one.f90;fortnum_enzyme_vector_root_newton_two.f90;fortnum_enzyme_vector_root_vjp_residual_one.f90;fortnum_enzyme_vector_root_vjp_residual_two.f90;fortnum_enzyme_vector_root_objective.f90;fortnum_enzyme_fixed_quadrature_integrand.f90;fortnum_enzyme_fixed_quadrature_kernel.f90;fortnum_enzyme_adaptive_integrand.f90;fortnum_enzyme_singular_integrand.f90;fortnum_enzyme_adaptive_frozen_trace.f90;fortnum_enzyme_singular_frozen_trace.f90;fortnum_enzyme_ode_scalar_rhs.f90;fortnum_enzyme_bspline_fixed_span.f90;fortnum_enzyme_direct_solver_component.f90;fortnum_enzyme_direct_solver_objective.f90;fortnum_enzyme_iterative_solver_component.f90;fortnum_enzyme_fft8.f90;fortnum_enzyme_fftw8_outer.f90,generated hybrid boundary,autodiff;hybrid,temporary build-tree Enzyme wrappers generated from scalar and fixed-array ABI profiles
src/generated/fortad/dawson_outer_value.f90,fortnum_dawson_outer_value,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/det2.f90,fortnum_det2,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/det3.f90,fortnum_det3,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/erf.f90,fortnum_erf,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/erfc.f90,fortnum_erfc,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/fortnum_dawson_outer_value_jvp_fortad.f90,fortnum_dawson_outer_value_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_dawson_outer_value_vjp_fortad.f90,fortnum_dawson_outer_value_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_det2_jvp_fortad.f90,fortnum_det2_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_det2_vjp_fortad.f90,fortnum_det2_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_det3_jvp_fortad.f90,fortnum_det3_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_det3_vjp_fortad.f90,fortnum_det3_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_dot_sin_primal.f90,fortnum_dot_sin,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/fortnum_erf_jvp_fortad.f90,fortnum_erf_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_erf_vjp_fortad.f90,fortnum_erf_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_erfc_jvp_fortad.f90,fortnum_erfc_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_erfc_vjp_fortad.f90,fortnum_erfc_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_hypergeom_2f1_term_jvp_fortad.f90,fortnum_hypergeom_2f1_term_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_hypergeom_2f1_term_vjp_fortad.f90,fortnum_hypergeom_2f1_term_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_implicit_root_residual_jvp_fortad.f90,fortnum_implicit_root_residual_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_implicit_root_residual_vjp_fortad.f90,fortnum_implicit_root_residual_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_inv2_jvp_fortad.f90,fortnum_inv2_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_lagrange4_jvp_fortad.f90,fortnum_lagrange4_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_lagrange4_vjp_fortad.f90,fortnum_lagrange4_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_legendre_recurrence_derivative_jvp_fortad.f90,fortnum_legendre_recurrence_derivative_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_legendre_recurrence_derivative_vjp_fortad.f90,fortnum_legendre_recurrence_derivative_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_legendre_recurrence_jvp_fortad.f90,fortnum_legendre_recurrence_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_legendre_recurrence_vjp_fortad.f90,fortnum_legendre_recurrence_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_multi_input_p16_jvp_fortad.f90,fortnum_multi_input_p16_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_multi_input_p16_vjp_fortad.f90,fortnum_multi_input_p16_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_multi_input_p2_jvp_fortad.f90,fortnum_multi_input_p2_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_multi_input_p2_vjp_fortad.f90,fortnum_multi_input_p2_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_multi_input_p4_jvp_fortad.f90,fortnum_multi_input_p4_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_multi_input_p4_vjp_fortad.f90,fortnum_multi_input_p4_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_multi_input_p8_jvp_fortad.f90,fortnum_multi_input_p8_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_multi_input_p8_vjp_fortad.f90,fortnum_multi_input_p8_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_scalar_root_residual_jvp_fortad.f90,fortnum_scalar_root_residual_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_scalar_root_residual_vjp_fortad.f90,fortnum_scalar_root_residual_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_scaled_jacobi_recurrence_jvp_fortad.f90,fortnum_scaled_jacobi_recurrence_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_scaled_jacobi_recurrence_vjp_fortad.f90,fortnum_scaled_jacobi_recurrence_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_sqrt1pm1_raw_jvp_fortad.f90,fortnum_sqrt1pm1_raw_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_sqrt1pm1_raw_vjp_fortad.f90,fortnum_sqrt1pm1_raw_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_sqrt1pm1_stable_jvp_fortad.f90,fortnum_sqrt1pm1_stable_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_sqrt1pm1_stable_vjp_fortad.f90,fortnum_sqrt1pm1_stable_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_toroidal_order_jvp_fortad.f90,fortnum_toroidal_order_jvp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/fortnum_toroidal_order_vjp_fortad.f90,fortnum_toroidal_order_vjp_fortad,fortad-generated,autodiff,derivative generated by fortad from the extracted primal
src/generated/fortad/hypergeom_2f1_term.f90,fortnum_hypergeom_2f1_term,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/implicit_root_residual.f90,fortnum_implicit_root_residual,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/inv2.f90,fortnum_inv2,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/lagrange4.f90,fortnum_lagrange4,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/legendre_recurrence.f90,fortnum_legendre_recurrence,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/multi_input_p16.f90,fortnum_multi_input_p16,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/multi_input_p2.f90,fortnum_multi_input_p2,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/multi_input_p4.f90,fortnum_multi_input_p4,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/multi_input_p8.f90,fortnum_multi_input_p8,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/scalar_root_residual.f90,fortnum_scalar_root_residual,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/scaled_jacobi_recurrence.f90,fortnum_scaled_jacobi_recurrence,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/sqrt1pm1_raw.f90,fortnum_sqrt1pm1_raw,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/sqrt1pm1_stable.f90,fortnum_sqrt1pm1_stable,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortad/toroidal_order.f90,fortnum_toroidal_order,fortad-generated,autodiff,primal extracted for fortad to differentiate
src/generated/fortnum_dot_sin_jvp.f90,fortnum_dot_sin_jvp,fortad-generated,autodiff,derivative generated by fortad from the dot_sin primal
src/generated/fortnum_dot_sin_jvp_v.f90,fortnum_dot_sin_jvp_v,fortad-generated,autodiff,derivative generated by fortad from the dot_sin primal
src/generated/fortnum_dot_sin_vjp.f90,fortnum_dot_sin_vjp,fortad-generated,autodiff,derivative generated by fortad from the dot_sin primal
